X, Y, Z, NX, NY, NZ, IX, IY, IZ, CUTNUM
0.227846224,0.301953146,-0.0672956,0,0.69465837,-0.7193398,0,-0.7193398,-0.69465837,1
0.226552129,0.301830591,-0.06741395,0,0.69465837,-0.7193398,0.258819045,-0.694828891,-0.67098846,1
0.225346224,0.301471279,-0.067760933,0,0.69465837,-0.7193398,0.5,-0.622966541,-0.601591796,1
0.22431069,0.300899697,-0.068312904,0,0.69465837,-0.7193398,0.707106781,-0.508650051,-0.491197644,1
0.223516097,0.300154796,-0.069032246,0,0.69465837,-0.7193398,0.866025404,-0.3596699,-0.347329185,1
0.223016595,0.299287341,-0.069869938,0,0.69465837,-0.7193398,0.965925826,-0.18617884,-0.179790816,1
0.222846224,0.298356447,-0.070768892,0,0.69465837,-0.7193398,1,1.32E-16,1.28E-16,1
0.223016595,0.297425552,-0.071667846,0,0.69465837,-0.7193398,0.965925826,0.18617884,0.179790816,1
0.223516097,0.296558097,-0.072505538,0,0.69465837,-0.7193398,0.866025404,0.3596699,0.347329185,1
0.22431069,0.295813196,-0.07322488,0,0.69465837,-0.7193398,0.707106781,0.508650051,0.491197644,1
0.225346224,0.295241614,-0.073776851,0,0.69465837,-0.7193398,0.5,0.622966541,0.601591796,1
0.226552129,0.294882302,-0.074123834,0,0.69465837,-0.7193398,0.258819045,0.694828891,0.67098846,1
0.227846224,0.294759748,-0.074242184,0,0.69465837,-0.7193398,-1.22E-16,0.7193398,0.69465837,1
0.229140319,0.294882302,-0.074123834,0,0.69465837,-0.7193398,-0.258819045,0.694828891,0.67098846,1
0.230346224,0.295241614,-0.073776851,0,0.69465837,-0.7193398,-0.5,0.622966541,0.601591796,1
0.231381758,0.295813196,-0.07322488,0,0.69465837,-0.7193398,-0.707106781,0.508650051,0.491197644,1
0.232176351,0.296558097,-0.072505538,0,0.69465837,-0.7193398,-0.866025404,0.3596699,0.347329185,1
0.232675853,0.297425552,-0.071667846,0,0.69465837,-0.7193398,-0.965925826,0.18617884,0.179790816,1
0.232846224,0.298356447,-0.070768892,0,0.69465837,-0.7193398,-1,-4.40E-17,-4.25E-17,1
0.232675853,0.299287341,-0.069869938,0,0.69465837,-0.7193398,-0.965925826,-0.18617884,-0.179790816,1
0.232176351,0.300154796,-0.069032246,0,0.69465837,-0.7193398,-0.866025404,-0.3596699,-0.347329185,1
0.231381758,0.300899697,-0.068312904,0,0.69465837,-0.7193398,-0.707106781,-0.508650051,-0.491197644,1
0.230346224,0.301471279,-0.067760933,0,0.69465837,-0.7193398,-0.5,-0.622966541,-0.601591796,1
0.229140319,0.301830591,-0.06741395,0,0.69465837,-0.7193398,-0.258819045,-0.694828891,-0.67098846,1
0.227846224,0.301953146,-0.0672956,0,0.69465837,-0.7193398,0,-0.7193398,-0.69465837,1
0.253346224,0.301953146,-0.0672956,0,0.69465837,-0.7193398,0,-0.7193398,-0.69465837,2
0.252052129,0.301830591,-0.06741395,0,0.69465837,-0.7193398,0.258819045,-0.694828891,-0.67098846,2
0.250846224,0.301471279,-0.067760933,0,0.69465837,-0.7193398,0.5,-0.622966541,-0.601591796,2
0.24981069,0.300899697,-0.068312904,0,0.69465837,-0.7193398,0.707106781,-0.508650051,-0.491197644,2
0.249016097,0.300154796,-0.069032246,0,0.69465837,-0.7193398,0.866025404,-0.3596699,-0.347329185,2
0.248516595,0.299287341,-0.069869938,0,0.69465837,-0.7193398,0.965925826,-0.18617884,-0.179790816,2
