X, Y, Z, NX, NY, NZ, IX, IY, IZ, CUTNUM
0.443789546,0.222363536,-0.144154393,0,0.69465837,-0.7193398,0.104113511,0.715430491,0.690883195,20
0.445056038,0.22227209,-0.144242701,0,0.69465837,-0.7193398,0.095646862,0.716041864,0.691473591,20
0.446324336,0.222188311,-0.144323605,0,0.69465837,-0.7193398,0.087252177,0.716596423,0.692009122,20
0.44759414,0.222112159,-0.144397145,0,0.69465837,-0.7193398,0.078923404,0.717095952,0.692491511,20
0.448864171,0.222043642,-0.144463311,0,0.69465837,-0.7193398,0.070661054,0.717541727,0.692921991,20
0.450134767,0.221982677,-0.144522184,0,0.69465837,-0.7193398,0.062455257,0.71793548,0.693302234,20
0.451406507,0.221929187,-0.144573839,0,0.69465837,-0.7193398,0.054294892,0.718278734,0.693633711,20
0.452678912,0.221883152,-0.144618295,0,0.69465837,-0.7193398,0.046175877,0.718572499,0.693917396,20
0.453951146,0.221844558,-0.144655564,0,0.69465837,-0.7193398,0.038096479,0.718817607,0.694154094,20
0.455224162,0.221813343,-0.144685708,0,0.69465837,-0.7193398,0.030043745,0.719015079,0.694344791,20
0.45649764,0.221789493,-0.14470874,0,0.69465837,-0.7193398,0.022012938,0.719165494,0.694490045,20
0.457771027,0.221772997,-0.14472467,0,0.69465837,-0.7193398,0.014000847,0.719269293,0.694590282,20
0.45904469,0.221763835,-0.144733517,0,0.69465837,-0.7193398,0.005998534,0.719326858,0.694645873,20
0.460318446,0.221762003,-0.144735286,0,0.69465837,-0.7193398,-0.001999431,0.719338362,0.694656982,20
0.461592093,0.221767499,-0.144729979,0,0.69465837,-0.7193398,-0.009998363,0.719303844,0.694623648,20
0.462865787,0.221780328,-0.14471759,0,0.69465837,-0.7193398,-0.018005802,0.719223183,0.694545754,20
0.464139204,0.221800499,-0.144698111,0,0.69465837,-0.7193398,-0.026026321,0.71909613,0.69442306,20
0.465412067,0.22182802,-0.144671534,0,0.69465837,-0.7193398,-0.034064821,0.718922314,0.694255209,20
0.466685172,0.221862934,-0.144637818,0,0.69465837,-0.7193398,-0.042133073,0.718701032,0.694041519,20
0.46795763,0.221905249,-0.144596955,0,0.69465837,-0.7193398,-0.050232295,0.718431678,0.693781407,20
0.469229125,0.221954984,-0.144548927,0,0.69465837,-0.7193398,-0.058367398,0.718113448,0.693474096,20
0.470500495,0.222012214,-0.14449366,0,0.69465837,-0.7193398,-0.066550868,0.717745048,0.693118336,20
0.471771353,0.222076976,-0.14443112,0,0.69465837,-0.7193398,-0.074787537,0.717325283,0.692712973,20
0.473040885,0.222149282,-0.144361296,0,0.69465837,-0.7193398,-0.083079616,0.71685298,0.692256876,20
0.474309253,0.222229194,-0.144284125,0,0.69465837,-0.7193398,-0.091435826,0.716326465,0.691748426,20
0.475577824,0.222316879,-0.14419945,0,0.69465837,-0.7193398,-0.099873283,0.71574322,0.691185193,20
0.476844707,0.222412287,-0.144107315,0,0.69465837,-0.7193398,-0.108387787,0.715101947,0.690565923,20
0.478109609,0.222515471,-0.144007671,0,0.69465837,-0.7193398,-0.116985876,0.71440051,0.689888553,20
0.479374194,0.222626661,-0.143900296,0,0.69465837,-0.7193398,-0.125687946,0.713635311,0.689149609,20
0.480637661,0.222745903,-0.143785146,0,0.69465837,-0.7193398,-0.134498133,0.712803769,0.688346598,20
0.481898788,0.222873189,-0.143662227,0,0.69465837,-0.7193398,-0.14341781,0.711903432,0.687477153,20
0.4831573,0.223008596,-0.143531466,0,0.69465837,-0.7193398,-0.152455246,0.710930988,0.686538075,20
0.484416329,0.223152608,-0.143392395,0,0.69465837,-0.7193398,-0.161644255,0.70987983,0.685522984,20
0.485672764,0.22330503,-0.143245203,0,0.69465837,-0.7193398,-0.170974163,0.70874789,0.684429882,20
0.486926212,0.223465955,-0.143089799,0,0.69465837,-0.7193398,-0.180454223,0.707530675,0.683254431,20
0.488176592,0.223635524,-0.142926049,0,0.69465837,-0.7193398,-0.190096702,0.706222906,0.681991533,20
0.489427197,0.223814385,-0.142753324,0,0.69465837,-0.7193398,-0.199941565,0.704814764,0.680631706,20
0.490674393,0.224002239,-0.142571916,0,0.69465837,-0.7193398,-0.209975798,0.703303259,0.679172062,20
0.49191792,0.22419924,-0.142381675,0,0.69465837,-0.7193398,-0.220213106,0.701681293,0.677605749,20
0.493157527,0.224405559,-0.142182435,0,0.69465837,-0.7193398,-0.23066831,0.699940962,0.67592513,20
0.494396044,0.224621933,-0.141973485,0,0.69465837,-0.7193398,-0.241384442,0.698068613,0.674117024,20
0.495631226,0.22484827,-0.141754914,0,0.69465837,-0.7193398,-0.252363124,0.696056643,0.672174087,20
0.496861934,0.225084647,-0.141526646,0,0.69465837,-0.7193398,-0.263615966,0.693895106,0.670086714,20
0.498087893,0.225331313,-0.141288445,0,0.69465837,-0.7193398,-0.275163674,0.691571411,0.667842748,20
0.499308826,0.225588536,-0.141040047,0,0.69465837,-0.7193398,-0.287028838,0.689071378,0.665428495,20
0.500527549,0.225857313,-0.140780491,0,0.69465837,-0.7193398,-0.299267774,0.686371858,0.662821599,20
0.501741285,0.22613748,-0.140509938,0,0.69465837,-0.7193398,-0.311884614,0.683459121,0.660008801,20
0.502949092,0.226429261,-0.140228168,0,0.69465837,-0.7193398,-0.324903019,0.680313702,0.656971305,20
0.504150596,0.226733041,-0.139934811,0,0.69465837,-0.7193398,-0.338355311,0.676912009,0.653686328,20
